SecurityID,TradeTime,TradePrice,TradeQty,TradeAmount,BuyNo,SellNo,TradeIndex,ChannelNo,TradeBSFlag,BizIndex
600000,20220426093009470,7.850,5000,39250.000,232713,280375,73041,5,S,349996
600000,20220426093009470,7.850,200,1570.000,237570,280375,73042,5,S,349997
600000,20220426093009470,7.850,1500,11775.000,238728,280375,73043,5,S,349998
600000,20220426093009470,7.850,500,3925.000,242950,280375,73044,5,S,349999
600000,20220426093009470,7.850,2000,15700.000,243757,280375,73045,5,S,350000
600000,20220426093009470,7.850,500,3925.000,256751,280375,73046,5,S,350001
600000,20220426093009470,7.850,1000,7850.000,258312,280375,73047,5,S,350002
600000,20220426093009470,7.850,100,785.000,262820,280375,73048,5,S,350003
600000,20220426093009470,7.850,200,1570.000,263271,280375,73049,5,S,350004
600000,20220426093009470,7.850,5000,39250.000,266576,280375,73050,5,S,350005
600000,20220426093009470,7.850,300,2355.000,271857,280375,73051,5,S,350006
600000,20220426093009470,7.850,900,7065.000,274714,280375,73052,5,S,350007
600000,20220426093009470,7.850,1600,12560.000,275340,280375,73053,5,S,350008
600000,20220426093009470,7.850,400,3140.000,277414,280375,73054,5,S,350009
600000,20220426093009470,7.850,1000,7850.000,277434,280375,73055,5,S,350010
600000,20220426093009470,7.850,1000,7850.000,277851,280375,73056,5,S,350011
600000,20220426093009650,7.850,100,785.000,282720,280375,73992,5,B,353046
600000,20220426093009900,7.850,500,3925.000,286208,280375,75760,5,B,357991
600000,20220426093010020,7.840,1157,9070.880,153770,288415,76846,5,S,361202
600000,20220426093010020,7.840,2700,21168.000,153854,288415,76847,5,S,361203
600000,20220426093010020,7.840,400,3136.000,155043,288415,76848,5,S,361204
600000,20220426093010020,7.840,600,4704.000,157256,288415,76849,5,S,361205
600000,20220426093010020,7.840,500,3920.000,162157,288415,76850,5,S,361206
600000,20220426093010020,7.840,1500,11760.000,165130,288415,76851,5,S,361207
600000,20220426093010020,7.840,500,3920.000,172116,288415,76852,5,S,361208
600000,20220426093010020,7.840,500,3920.000,174152,288415,76853,5,S,361209
600000,20220426093010020,7.840,22143,173601.120,178193,288415,76854,5,S,361210
600000,20220426093010130,7.850,1900,14915.000,288927,280375,77209,5,B,362010
600000,20220426093010130,7.840,1300,10192.000,178193,289407,77448,5,S,362688
600000,20220426093010250,7.850,3000,23550.000,291558,280375,78397,5,B,365673
600000,20220426093010500,7.850,200,1570.000,293292,280375,79088,5,B,368034
600000,20220426093010500,7.850,100,785.000,293292,282374,79089,5,B,368035
600000,20220426093010500,7.850,200,1570.000,293292,282375,79090,5,B,368036
600000,20220426093010500,7.850,200,1570.000,293292,283135,79091,5,B,368037
600000,20220426093010630,7.850,200,1570.000,295325,283135,79990,5,B,370881
600000,20220426093011170,7.850,400,3140.000,301278,283135,82711,5,B,379319
600000,20220426093011170,7.850,1200,9420.000,301278,283142,82712,5,B,379320
600000,20220426093011170,7.850,600,4710.000,301529,283142,82813,5,B,379668
600000,20220426093011170,7.850,400,3140.000,301529,283152,82814,5,B,379669
600000,20220426093011780,7.850,200,1570.000,308100,283152,85749,5,B,388930
600000,20220426093011780,7.850,200,1570.000,308100,283153,85750,5,B,388931
600000,20220426093011980,7.840,1557,12206.880,178193,310029,86748,5,S,391753
600000,20220426093011980,7.840,500,3920.000,182344,310029,86749,5,S,391754
600000,20220426093011980,7.840,100,784.000,186982,310029,86750,5,S,391755
600000,20220426093011980,7.840,500,3920.000,188024,310029,86751,5,S,391756
600000,20220426093011980,7.840,2000,15680.000,191022,310029,86752,5,S,391757
600000,20220426093011980,7.840,100,784.000,191556,310029,86753,5,S,391758
600000,20220426093011980,7.840,43,337.120,194553,310029,86754,5,S,391759
600000,20220426093011980,7.840,1757,13774.880,194553,310064,86765,5,S,391807
600000,20220426093011980,7.840,1500,11760.000,194644,310064,86766,5,S,391808
600000,20220426093011980,7.840,2843,22289.120,200497,310064,86767,5,S,391809
600000,20220426093011980,7.840,1200,9408.000,200497,310079,86774,5,S,391833
600000,20220426093012020,7.840,100,784.000,200497,310546,86955,5,S,392431
600000,20220426093012020,7.840,100,784.000,200497,310547,86956,5,S,392432
600000,20220426093012070,7.840,100,784.000,200497,310905,87129,5,S,392971
600000,20220426093012070,7.840,900,7056.000,200497,310982,87187,5,S,393105
600000,20220426093012070,7.840,900,7056.000,200497,311051,87220,5,S,393208
600000,20220426093012070,7.840,2700,21168.000,200497,311092,87265,5,S,393273
600000,20220426093012070,7.840,1157,9070.880,200497,311093,87266,5,S,393274
600000,20220426093012070,7.840,1600,12544.000,203578,311093,87267,5,S,393275
600000,20220426093012070,7.840,600,4704.000,204903,311093,87268,5,S,393276
600000,20220426093012070,7.840,43,337.120,210244,311093,87269,5,S,393277
600000,20220426093012070,7.840,200,1568.000,210244,311094,87270,5,S,393278
600000,20220426093012070,7.840,2100,16464.000,210244,311095,87271,5,S,393279
600000,20220426093012070,7.840,1600,12544.000,210244,311096,87272,5,S,393281
600000,20220426093012070,7.840,2000,15680.000,210244,311097,87273,5,S,393283
600000,20220426093012070,7.840,900,7056.000,210244,311149,87308,5,S,393349
600000,20220426093012170,7.840,1500,11760.000,210244,312283,87839,5,S,395056
600000,20220426093012170,7.840,200,1568.000,210244,312322,87876,5,S,395124
600000,20220426093012170,7.840,200,1568.000,210244,312323,87877,5,S,395125
600000,20220426093012170,7.840,200,1568.000,210244,312325,87878,5,S,395127
600000,20220426093012170,7.850,1400,10990.000,312950,283153,88171,5,B,396061
600000,20220426093012170,7.850,6200,48670.000,312950,283154,88172,5,B,396062
600000,20220426093012170,7.850,500,3925.000,312950,283549,88173,5,B,396063
600000,20220426093012170,7.850,1400,10990.000,312950,287141,88174,5,B,396064
600000,20220426093012290,7.850,200,1570.000,314289,291971,88752,5,B,397896
600000,20220426093012290,7.850,500,3925.000,314289,292061,88753,5,B,397897
600000,20220426093012510,7.840,1257,9854.880,210244,316261,89597,5,S,400626
600000,20220426093012510,7.840,1000,7840.000,214236,316261,89598,5,S,400627
600000,20220426093012510,7.840,943,7393.120,220575,316261,89599,5,S,400628
600000,20220426093012510,7.840,2300,18032.000,220575,316262,89600,5,S,400629
600000,20220426093012930,7.850,500,3925.000,319732,292061,91148,5,B,405463
600000,20220426093012980,7.840,400,3136.000,220575,320054,91273,5,S,405910
600000,20220426093013000,7.850,100,785.000,320196,292627,91325,5,B,406113
600000,20220426093013000,7.850,300,2355.000,320196,292827,91326,5,B,406114
600000,20220426093013300,7.850,600,4710.000,321613,295143,91999,5,B,408236
600000,20220426093013300,7.850,800,6280.000,321613,295202,92000,5,B,408237
600000,20220426093013300,7.850,700,5495.000,321613,295205,92001,5,B,408238
600000,20220426093013300,7.850,700,5495.000,321613,295206,92002,5,B,408239
600000,20220426093013300,7.850,300,2355.000,321613,295207,92003,5,B,408240
600000,20220426093013690,7.840,100,784.000,220575,323085,92815,5,S,410605
600000,20220426093013690,7.840,400,3136.000,220575,323086,92816,5,S,410606
600000,20220426093013690,7.840,1157,9070.880,220575,323091,92819,5,S,410616
600000,20220426093013690,7.840,843,6609.120,221222,323091,92820,5,S,410617
600000,20220426093013750,7.840,3900,30576.000,221222,323564,93072,5,S,411384
600000,20220426093013800,7.840,100,784.000,221222,323716,93152,5,S,411618
600000,20220426093014020,7.850,600,4710.000,324542,295207,93568,5,B,412846
600000,20220426093014250,7.850,800,6280.000,325606,295207,94002,5,B,414449
600000,20220426093014250,7.850,200,1570.000,325606,295212,94003,5,B,414450
600000,20220426093014280,7.850,1900,14915.000,325700,295212,94031,5,B,414595
600000,20220426093014280,7.850,600,4710.000,325700,295298,94032,5,B,414596
600000,20220426093014280,7.850,1200,9420.000,325700,295304,94033,5,B,414597
600000,20220426093014280,7.850,300,2355.000,325700,296394,94034,5,B,414598
600000,20220426093014610,7.840,1500,11760.000,221222,326973,94666,5,S,416588
600000,20220426093014610,7.840,1300,10192.000,221222,326974,94667,5,S,416591
600000,20220426093015010,7.840,700,5488.000,221222,329612,95801,5,S,420311
600000,20220426093015010,7.840,400,3136.000,221222,330034,95989,5,S,420915
600000,20220426093015010,7.840,600,4704.000,221222,330035,95990,5,S,420916
600000,20220426093015010,7.840,200,1568.000,221222,330036,95991,5,S,420917
600000,20220426093015010,7.840,400,3136.000,221222,330037,95992,5,S,420918
600000,20220426093015010,7.840,500,3920.000,221222,330242,96087,5,S,421197
600000,20220426093015080,7.840,400,3136.000,221222,330640,96234,5,S,421710
600000,20220426093015080,7.840,800,6272.000,221222,330683,96283,5,S,421789
600000,20220426093015080,7.840,300,2352.000,221222,330684,96284,5,S,421790
600000,20220426093015080,7.840,1100,8624.000,221222,330686,96285,5,S,421792
600000,20220426093015080,7.840,1300,10192.000,221222,330687,96286,5,S,421793
600000,20220426093015080,7.840,1200,9408.000,221222,330689,96289,5,S,421796
600000,20220426093015080,7.840,57,446.880,221222,330747,96318,5,S,421871
600000,20220426093015080,7.840,243,1905.120,247396,330747,96319,5,S,421872
600000,20220426093015080,7.840,500,3920.000,247396,330912,96401,5,S,422145
600000,20220426093015080,7.850,1100,8635.000,331241,296394,96566,5,B,422654
600000,20220426093015080,7.850,2600,20410.000,331241,296734,96567,5,B,422655
600000,20220426093015080,7.850,900,7065.000,331241,301684,96568,5,B,422656
600000,20220426093015080,7.850,400,3140.000,331241,301686,96569,5,B,422657
600000,20220426093015080,7.850,1300,10205.000,331241,301687,96570,5,B,422658
600000,20220426093015080,7.850,1100,8635.000,331241,301688,96571,5,B,422659
600000,20220426093015080,7.850,300,2355.000,331241,301689,96572,5,B,422660
600000,20220426093015080,7.850,100,785.000,331241,310392,96573,5,B,422661
600000,20220426093015080,7.850,700,5495.000,331241,313266,96574,5,B,422662
600000,20220426093015080,7.850,100,785.000,331241,316260,96575,5,B,422663
600000,20220426093015080,7.850,400,3140.000,331241,322230,96576,5,B,422664
600000,20220426093015080,7.850,2800,21980.000,331241,322246,96577,5,B,422665
600000,20220426093015080,7.850,700,5495.000,331241,322247,96578,5,B,422666
600000,20220426093015080,7.850,300,2355.000,331241,322248,96579,5,B,422667
600000,20220426093015080,7.850,2000,15700.000,331241,323945,96580,5,B,422668
600000,20220426093015080,7.850,1000,7850.000,331241,324082,96581,5,B,422669
600000,20220426093015080,7.840,1000,7840.000,247396,331853,96803,5,S,423447
600000,20220426093015080,7.840,257,2014.880,247396,331944,96832,5,S,423559
600000,20220426093015080,7.840,643,5041.120,252415,331944,96833,5,S,423560
600000,20220426093015180,7.840,600,4704.000,252415,332487,97230,5,S,424466
600000,20220426093015180,7.840,600,4704.000,252415,332488,97231,5,S,424467
600000,20220426093015180,7.840,400,3136.000,252415,332489,97232,5,S,424468
600000,20220426093015180,7.850,200,1570.000,332911,328656,97506,5,B,425187
600000,20220426093015180,7.850,100,785.000,332911,328847,97507,5,B,425188
600000,20220426093015180,7.850,100,785.000,332911,329266,97508,5,B,425189
600000,20220426093015180,7.850,100,785.000,332911,329268,97509,5,B,425190
600000,20220426093015180,7.850,100,785.000,332911,329944,97510,5,B,425191
600000,20220426093015180,7.850,100,785.000,332911,330055,97511,5,B,425192
600000,20220426093015180,7.850,200,1570.000,332911,330224,97512,5,B,425193
600000,20220426093015180,7.850,100,785.000,332911,330421,97513,5,B,425194
600000,20220426093015180,7.850,100,785.000,332911,330931,97514,5,B,425195
600000,20220426093015360,7.850,400,3140.000,333499,333959,98254,5,S,426918
600000,20220426093015360,7.850,1200,9420.000,333499,333960,98255,5,S,426919
600000,20220426093015360,7.850,500,3925.000,333499,333961,98256,5,S,426920
600000,20220426093015360,7.850,100,785.000,333499,333976,98259,5,S,426935
600000,20220426093015700,7.850,100,785.000,333499,335567,99343,5,S,429614
600000,20220426093015840,7.860,4200,33012.000,336131,98750,99668,5,B,430543
600000,20220426093015840,7.860,3300,25938.000,336131,100104,99669,5,B,430544
600000,20220426093015840,7.850,200,1570.000,333499,336136,99672,5,S,430550
600000,20220426093015840,7.840,900,7056.000,252415,336136,99673,5,S,430551
600000,20220426093016420,7.850,900,7065.000,337892,337988,100987,5,S,433686
600000,20220426093016420,7.840,1100,8624.000,252415,337989,100988,5,S,433687
600000,20220426093016450,7.840,500,3920.000,252415,338015,100995,5,S,433721
600000,20220426093016450,7.840,500,3920.000,252415,338026,100997,5,S,433736
600000,20220426093016450,7.840,300,2352.000,252415,338034,100999,5,S,433747
600000,20220426093016450,7.840,800,6272.000,252415,338046,101002,5,S,433770
600000,20220426093016450,7.840,500,3920.000,252415,338047,101003,5,S,433771
600000,20220426093016450,7.840,900,7056.000,252415,338048,101004,5,S,433772
600000,20220426093016450,7.840,600,4704.000,252415,338049,101005,5,S,433773
600000,20220426093016450,7.840,300,2352.000,252415,338050,101006,5,S,433774
600000,20220426093016450,7.840,1200,9408.000,252415,338089,101018,5,S,433829
600000,20220426093016450,7.840,300,2352.000,252415,338090,101019,5,S,433830
600000,20220426093016450,7.840,200,1568.000,252415,338091,101020,5,S,433831
600000,20220426093016450,7.840,200,1568.000,252415,338092,101021,5,S,433832
600000,20220426093016810,7.840,200,1568.000,252415,339153,101913,5,S,435767
600000,20220426093016810,7.840,300,2352.000,252415,339173,101938,5,S,435807
600000,20220426093016810,7.840,1757,13774.880,252415,339174,101939,5,S,435808
600000,20220426093016810,7.840,543,4257.120,252949,339174,101940,5,S,435809
600000,20220426093016810,7.840,300,2352.000,252949,339175,101941,5,S,435810
600000,20220426093016810,7.840,1100,8624.000,252949,339177,101942,5,S,435812
600000,20220426093016810,7.840,57,446.880,252949,339181,101945,5,S,435818
